index,0,1,2,3,4,5,6,7,8
000000000,1.4865606819616364,1.2728674587188615,1.1547296549628299,1.2863744371876225,1.3000410491501557,1.2293123414453357,4.187470438201152,1.1808749721028382,1.6310493653574563
-100000100,,0.042224004,0.1234619999999999,0.0,0.0685899999999999,0.0,,-0.10206192,1.6665879338085956
-10001010-1,,0.0,0.0,0.0,,0.9796096,,0.06859,
-1001101-1-1,,0.0,0.361,,,0.0,,,
-11-11101-1-1,,,,,,4.336,,,
000000-100,-0.3150725067478618,0.6615382274276038,0.1508294392601075,1.8833953024920809,2.7145268702807437,0.33563508210215537,,-0.20908267821349702,1.3814196095166178
00001-1-100,1.2135376,0.6497999999999999,0.3528946258484884,0.5720806614650323,,,,3.7967385517906176,0.635054726848
00011-1-10-1,-2.11984,-3.42,-1.7556000000000005,,,,,-0.33695948799999975,
-10011-1-11-1,,6.001152,0.95,,,,,,
-100100000,,0.70412328,1.494973784820107,,0.1523460802063237,0.0,0.7548740261167715,0.0,-0.339666344
-10010001-1,,0.0,0.0,,0.0,0.0,1.1448747200000002,,
-101100-11-1,,0.7813685004800001,,,1.6,5.692746077805573,,,
-10111-1-11-1,,4.002779184477399,,,,,,,
000-100000,0.5405541314970155,-0.13194076776681435,1.342649152965256,,3.445913857238841,-0.4101886862538774,0.6001631643999147,0.5152983905532694,1.742717663480391
010-1-10000,-1.9,,-1.954872,,,-0.361,-0.15650271999999993,-0.361,-1.9
-111-1-10000,,,,,,-0.361,0.0,-1.9,0.0
-111-1-110-10,,,,,,,-1.9,,1.6
-100001000,,-0.06859,0.0130321,0.0,1.8107928999417338,,0.0,0.06859,0.0
-1010-11000,,0.0,,0.0,,,1.2703912427520003,0.0,6.469632
-100-100100,,-0.361,-0.06859,,0.0,0.0,,-0.06859,2.3590678026635317
-110-10-1100,,,0.0,,1.163376118075388,,,0.0,-1.9
100000-100,,1.2807313140570298,2.595608837295612,1.0671069154088202,0.9420646016209088,2.023175076433019,,3.085395511695337,5.758225067810476
